ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
2501	quimopapaïna	quimopapaína	chymopapaïne	chymopapain	9001-09-6	enzim pancreàtic proteolític		
2502	quimotripsina	quimotripsina	chymotrypsine	chymotrypsin	9004-07-3	antiinflamatori	enzim pancreàtic proteolític	
2503	quinagolida	quinagolida	quinagolide	quinagolide	87056-78-8	antiparkinsonià	inhibidor de l'alletament	
2504	quinapril	quinapril	quinapril	quinapril	85441-61-8	antihipertensor		
2505	quinestradol	quinestradol	quinestradol	quinestradol	1169-79-5	estrogen		
2506	quinestrol	quinestrol	quinestrol	quinestrol	152-43-2	estrogen		
2507	quinetazona	quinetazona	quinéthazone	quinethazone	73-49-4	diürètic		
2508	quinfamida	quinfamida	quinfamide	quinfamide	62265-68-3	amebicida		
2509	quinisocaïna	quinisocaína	quinisocaïne	quinisocaine	86-80-6	anestèsic local		
2510	quinupramina	quinupramina	quinupramine	quinupramine	31721-17-2	antidepressiu tricíclic		
2511	quinupristina	quinupristina	quinupristine	quinupristin	120138-50-3	antibiòtic estreptogramínic		
2512	rabeprazole	rabeprazol	rabéprazole	rabeprazole	117976-89-3	inhibidor de la secreció àcida gàstrica		
2513	racecadotril	racecadotrilo	racécadotril	racecadotril	81110-73-8	antidiarreic		
2514	rafoxanida	rafoxanida	rafoxanide	rafoxanide	22662-39-1	antihelmíntic		
2515	raloxifè	raloxifeno	raloxifène	raloxifene	84449-90-1	inhibidor de la resorció òssia		
2516	raltegravir	raltegravir	raltégravir	raltegravir	871038-72-1	antiretroviral		
2517	raltitrexed	raltitrexed	raltitrexed	raltitrexed	112887-68-0	antineoplàstic		
2518	ramifenazona	ramifenazona	ramifénazone	ramifenazone	3615-24-5	analgèsic	antiinflamatori	antipirètic
2519	ramipril	ramipril	ramipril	ramipril	87333-19-5	antihipertensor		
2520	ramoplanina	ramoplanina	ramoplanine	ramoplanin		antibiòtic glucopeptídic		
2521	ramosetró	ramosetrón	ramosétron	ramosetron	132036-88-5	antiemètic		
2522	ramucirumab	ramucirumab	ramucirumab	ramucirumab	947687-13-0	anticòs monoclonal		
2523	ranelat d'estronci	ranelato de estroncio	ranélate de strontium	strontium ranelate	135459-87-1	hipocalcemiant	inhibidor de la resorció òssia	
2524	ranibizumab	ranibizumab	ranibizumab	ranibizumab	347396-82-1	antiangiogènic	anticòs monoclonal	
2525	ranimustina	ranimustina	ranimustine	ranimustine	58994-96-0	antineoplàstic		
2526	ranitidina	ranitidina	ranitidine	ranitidine	66357-35-5	antisecretor gàstric		
2527	ranolazina	ranolazina	ranolazine	ranolazine	95635-55-5	agent cardiovascular		
2528	ranpirnasa	ranpirnasa	ranpirnase	ranpirnase	196488-72-9	antineoplàstic		
2529	rasagilina	rasagilina	rasagiline	rasagiline	136236-51-6	antiparkinsonià		
2530	rasburicasa	rasburicasa	rasburicase	rasburicase	134774-45-1	enzim uricolític		
2531	raxibacumab	raxibacumab	raxibacumab	raxibacumab	565451-13-0	anticòs monoclonal		
2532	razoxà	razoxano	razoxane	razoxane	21416-87-5	antineoplàstic		
2533	rebamipida	rebamipida	rébamipide	rebamipide	111911-87-6	antiúlcera pèptica		
2534	reboxetina	reboxetina	réboxétine	reboxetine	71620-89-8	antidepressiu		
2535	refametinib	refametinib	réfamétinib	refametinib	923032-37-5	antineoplàstic		
2536	regadenosó	regadenosón	régadénoson	regadenoson	313348-27-5	agonista del receptor A de l'adenosina		
2537	regorafenib	regorafenib	régorafénib	regorafenib	755037-03-7	antineoplàstic		
2538	remacemida	remacemida	rémacémide	remacemide	128298-28-2	antiepilèptic	antiparkinsonià	
2539	remifentanil	remifentanilo	rémifentanil	remifentanil	132539-07-2	analgèsic opioide		
2540	remikirèn	remikireno	rémikirène	remikiren	126222-34-2	antihipertensor		
2541	remimazolam	remimazolam	rémimazolam	remimazolam	308242-62-8	anestèsic		
2542	renzaprida	renzaprida	renzapride	renzapride	88721-77-1	procinètic		
2543	repaglinida	repaglinida	répaglinide	repaglinide	135062-02-1	hipoglucemiant oral		
2544	repirinast	repirinast	répirinast	repirinast	73080-51-0	antial·lèrgic		
2545	reproterol	reproterol	réprotérol	reproterol	54063-54-6	antiasmàtic		
2546	rescinnamina	rescinamina	rescinnamine	rescinnamine	24815-24-5	antihipertensor		
2547	reserpina	reserpina	réserpine	reserpine	50-55-5	antihipertensor		
2548	resiquimod	resiquimod	résiquimod	resiquimod	144875-48-9	antivíric		
2549	retapamulina	retapamulina	rétapamuline	retapamulin	224452-66-8	antibiòtic		
2550	reteplasa	reteplasa	rétéplase	reteplase	133652-38-7	trombolític		
2551	retigabina	retigabina	rétigabine	retigabine	150812-12-7	anticonvulsiu	antiepilèptic	
2552	retinol	retinol	rétinol	retinol	68-26-8	emprat en la prevenció i el tractament del dèficit de vitamina A		
2553	reviparina sòdica	reviparina de sodio	réviparine sodique	reviparin sodium	9041-08-1	antitrombòtic		
2554	ribavirina	ribavirina	ribavirine	ribavirin	36791-04-5	antivíric		
2555	ribociclib	ribociclib	ribociclib	ribociclib	1211441-98-3	antineoplàstic		
2556	riboflavina	riboflavina	riboflavine	riboflavin	83-88-5	emprat en la prevenció i el tractament del dèficit de vitamina B		
2557	rifabutina	rifabutina	rifabutine	rifabutin	72559-06-9	antibiòtic rifamicínic	antituberculós	
2558	rifamicina	rifamicina	rifamycine	rifamycin	6998-60-3	antituberculós		
2559	rifampicina	rifampicina	rifampicine	rifampicin	13292-46-1	antituberculós		
2560	rifapentina	rifapentina	rifapentine	rifapentine	61379-65-5	antibiòtic rifamicínic	antituberculós	
2561	rifaximina	rifaximina	rifaximine	rifaximin	80621-81-4	antibiòtic rifamicínic		
2562	rilonacept	rilonacept	rilonacept	rilonacept	501081-76-1	immunomodulador		
2563	rilpivirina	rilpivirina	rilpivirine	rilpivirine	500287-72-9	antivíric		
2564	riluzole	riluzol	riluzole	riluzole	1744-22-5	antagonista de l'NMDA	inhibidor de l'alliberament d'àcid glutàmic	
2565	rimantadina	rimantadina	rimantadine	rimantadine	13392-28-4	antivíric		
2566	rimexolona	rimexolona	rimexolone	rimexolone	49697-38-3	glucocorticoide		
2567	rimiterol	rimiterol	rimitérol	rimiterol	32953-89-2	broncodilatador	simpaticomimètic	
2568	riociguat	riociguat	riociguat	riociguat	625115-55-1	activador i estimulant de la guanilat-ciclasa		
2569	risedronat sòdic	risedronato sódico	risedronate sodique	risedronate sodium	105462-24-6	inhibidor de la resorció òssia		
2570	risperidona	risperidona	rispéridone	risperidone	106266-06-2	antipsicòtic		
2571	ritanserina	ritanserina	ritansérine	ritanserin	87051-43-2	antidepressiu		
2572	ritiometan	ritiometán	ritiométan	ritiometan	34914-39-1	antisèptic		
2573	ritodrina	ritodrina	ritodrine	ritodrine	26652-09-5	relaxant uterí		
2574	ritonavir	ritonavir	ritonavir	ritonavir	155213-67-5	anti-VIH		
2575	rituximab	rituximab	rituximab	rituximab	174722-31-7	antineoplàstic	immunomodulador	
2576	rivaroxaban	rivaroxabán	rivaroxaban	rivaroxaban	366789-02-8	anticoagulant oral		
2577	rivastigmina	rivastigmina	rivastigmine	rivastigmine	123441-03-2	emprat en el tractament de la malaltia d'Alzheimer		
2578	rizatriptan	rizatriptán	rizatriptan	rizatriptan	144034-80-0	antimigranyós		
2579	robenidina	robenidina	robénidine	robenidine	25875-51-8	antiprotozoari		
2580	rociverina	rociverina	rocivérine	rociverine	53716-44-2	antiespasmòdic		
2581	rofecoxib	rofecoxib	rofécoxib	rofecoxib	162011-90-7	antiinflamatori		
2582	roflumilast	roflumilast	roflumilast	roflumilast	162401-32-3	antiasmàtic		
2583	rokitamicina	rokitamicina	rokitamycine	rokitamycin	74014-51-0	antibiòtic aminoglicosídic		
2584	rolitetraciclina	rolitetraciclina	rolitétracycline	rolitetracycline	751-97-3	antibiòtic tetraciclínic		
2585	romiplostim	romiplostim	romiplostim	romiplostim	267639-76-9	regulador de la producció de plaquetes		
2586	romosozumab	romosozumab	romosozumab	romosozumab	909395-70-6	immunomodulador		
2587	ronidazole	ronidazol	ronidazole	ronidazole	7681-76-7	antiprotozoari		
2588	ronifibrat	ronifibrato	ronifibrate	ronifibrate	42597-57-9	hipolipemiant		
2589	ropinirole	ropinirol	ropinirole	ropinirole	91374-21-9	antiparkinsonià		
2590	ropivacaïna	ropivacaína	ropivacaïne	ropivacaine	84057-95-4	anestèsic local		
2591	rosiglitazona	rosiglitazona	rosiglitazone	rosiglitazone	122320-73-4	hipoglucemiant oral		
2592	rosoxacina	rosoxacino	rosoxacine	rosoxacin	40034-42-2	antiinfecciós quinolònic		
2593	rosuvastatina	rosuvastatina	rosuvastatine	rosuvastatin	287714-14-4	hipolipemiant		
2594	rotigotina	rotigotina	rotigotine	rotigotine	92206-54-7	agonista dopaminèrgic	antiparkinsonià	
2595	roxadimat	roxadimato	roxadimate	roxadimate	58882-17-0	protector solar		
2596	roxarsona	roxarsona	roxarsone	roxarsone	121-19-7	antiprotozoari		
2597	roxatidina	roxatidina	roxatidine	roxatidine	78273-80-0	antihistamínic H1		
2598	roxitromicina	roxitromicina	roxithromycine	roxithromycin	80214-83-1	antibiòtic macròlid		
2599	rubitecan	rubitecán	rubitécan	rubitecan	91421-42-0	antineoplàstic		
2600	rucaparib	rucaparib	rucaparib	rucaparib	283173-50-2	antineoplàstic		
2601	rufinamida	rufinamida	rufinamide	rufinamide	106308-44-5	antiepilèptic		
2602	rufloxacina	rufloxacino	rufloxacine	rufloxacin	101363-10-4	antibiòtic quinolònic		
2603	rupatadina	rupatadina	rupatadine	rupatadine	158876-82-5	antihistamínic		
2604	rurioctocog alfa pegol	rurioctocog alfa pegol	rurioctocog alfa pégol	rurioctocog alfa pegol	1417412-83-9	antihemorràgic		
2605	rutòsid	rutósido	rutoside	rutoside	153-18-4	vasoprotector		
2606	ruxolitinib	ruxolitinib	ruxolitinib	ruxolitinib	941678-49-5	antineoplàstic		
2607	sabeluzole	sabeluzol	sabéluzole	sabeluzole	104153-38-0	anticonvulsiu	antihipòxic	
2608	sacarat de calci	sacarato de calcio	saccharate de calcium	calcium saccharate	5793-88-4	emprat com a suplement mineral		
2609	sacubitril	sacubitrilo	sacubitril	sacubitril	149709-62-6	inhibidor de l'endopeptidasa		
2610	safinamida	safinamida	safinamide	safinamide	133865-89-1	antiparkinsonià		
2611	salbutamol	salbutamol	salbutamol	salbutamol	18559-94-9	broncodilatador	simpaticomimètic	
2612	salicilamida	salicilamida	salicylamide	salicylamide	65-45-2	analgèsic	antiinflamatori	antipirètic
2613	salicilat d'imidazole	salicilato de imidazol	salicylate d'imidazole	imidazole salicylate	36364-49-5	analgèsic	antiinflamatori	
2614	salicilat de colina	salicilato de colina	salicylate de choline	choline salicylate	2016-36-6	analgèsic	antiinflamatori	antipirètic
2615	salmeterol	salmeterol	salmétérol	salmeterol	89365-50-4	broncodilatador	simpaticomimètic	
2616	salnacedina	salnacedina	salnacédine	salnacedin	87573-01-1	antiinflamatori	queratolític	
2617	salsalat	salsalato	salsalate	salsalate	552-94-3	analgèsic		
2618	salverina	salverina	salvérine	salverine	6376-26-7	analgèsic	antiespasmòdic	
2619	saperconazole	saperconazol	saperconazole	saperconazole	110588-57-3	antifúngic		
2620	sapropterina	sapropterina	saproptérine	sapropterin	62989-33-7	antihiperfenilalaninèmic		
2621	saquinavir	saquinavir	saquinavir	saquinavir	127779-20-8	anti-VIH		
2622	saralasina	saralasina	saralasine	saralasin	34273-10-4	antagonista de l'angiotensina II	antihipertensor	
2623	sargramostim	sargramostim	sargramostim	sargramostim	123774-72-1	antineutropènic		
2624	sarilumab	sarilumab	sarilumab	sarilumab	1189541-98-7	immunomodulador		
2625	sarpogrelat	sarpogrelato	sarpogrélate	sarpogrelate	125926-17-2	antiagregant plaquetari		
2626	saruplasa	saruplasa	saruplase	saruplase	99149-95-8	trombolític		
2627	satraplatí	satraplatino	satraplatine	satraplatin	129580-63-8	antineoplàstic		
2628	saxagliptina	saxagliptina	saxagliptine	saxagliptin	361442-04-8	hipoglucemiant oral		
2629	sebelipasa alfa	sebelipasa alfa	sébélipase alfa	sebelipase alfa	1276027-63-4	tractament enzimàtic de substitució		
2630	secbutabarbital	secbutabarbital	secbutabarbital	secbutabarbital	125-40-6	hipnòtic sedant		
2631	secnidazole	secnidazol	secnidazole	secnidazole	3366-95-8	amebicida	tricomonicida	
2632	secobarbital	secobarbital	sécobarbital	secobarbital	76-73-3	hipnòtic sedant		
2633	secretina	secretina	sécrétine	secretin	1393-25-5	agent de diagnòstic de la funció pancreàtica		
2634	secukinumab	secukinumab	sécukinumab	secukinumab	1229022-83-6	anticòs monoclonal		
2635	selegilina	selegilina	sélégiline	selegiline	14611-51-9	antidepressiu IMAO	antiparkinsonià	
2636	selexipag	selexipag	sélexipag	selexipag	475086-01-2	agonista del receptor de prostanoide		
2637	selfotel	selfotel	selfotel	selfotel	110347-85-8	antiisquèmic		
2638	semaglutida	semaglutida	sémaglutide	semaglutide	910463-68-2	hipoglucemiant oral		
2639	semustina	semustina	sémustine	semustine	13909-09-6	antineoplàstic		
2640	seocalcitol	seocalcitol	séocalcitol	seocalcitol	134404-52-7	emprat en la prevenció i el tractament del dèficit de vitamina D		
2641	seratrodast	seratrodast	sératrodast	seratrodast	112665-43-7	antiasmàtic		
2642	serelaxina	serelaxina	sérélaxine	serelaxin	99489-94-8	hormona		
2643	serina	serina	sérine	serine	56-45-1	emprat com a suplement dietètic		
2644	sermorelina	sermorelina	sermoréline	sermorelin	86168-78-7	agent de diagnòstic de la funció pituïtària		
2645	serrapeptasa	serrapeptasa	serrapeptase	serrapeptase	37312-62-2	antiinflamatori		
2646	sertaconazole	sertaconazol	sertaconazole	sertaconazole	99592-32-2	antifúngic		
2647	sertindole	sertindol	sertindole	sertindole	106516-24-9	antipsicòtic		
2648	sertralina	sertralina	sertraline	sertraline	79617-96-2	antidepressiu		
2649	sesquioleat de sorbitan	sesquioleato de sorbitán	sesquioléate de sorbitan	sorbitan sesquioleate	8007-43-0	surfactant no iònic		
2650	setastina	setastina	sétastine	setastine	64294-95-7	antihistamínic		
2651	sevelàmer	sevelámero	sévélamer	sevelamer	52757-95-6	antihiperfosfatèmic		
2652	sevoflurà	sevoflurano	sévoflurane	sevoflurane	28523-86-6	anestèsic inhalatori		
2653	sibrafiban	sibrafibán	sibrafiban	sibrafiban	172927-65-0	agent cardiovascular		
2654	sibutramina	sibutramina	sibutramine	sibutramine		anorèctic	inhibidor de la recaptació de serotonina i noradrenalina	
2655	sildenafil	sildenafilo	sildénafil	sildenafil	139755-83-2	emprat en el tractament de la disfunció erèctil	vasodilatador	
2656	silibinina	silibinina	silibinine	silibinin	22888-70-6	hepatoprotector		
2657	silicristina	silicristina	silicristine	silicristin	33889-69-9	antídot	quelant	
2658	silidianina	silidianina	silidianine	silidianin	29782-68-1	hepatoprotector		
2659	silodosina	silodosina	silodosine	silodosin	160970-54-7	antagonista dels adrenoreceptors alfa 1		
2660	siltuximab	siltuximab	siltuximab	siltuximab	541502-14-1	antineoplàstic		
2661	simeprevir	simeprevir	siméprévir	simeprevir	923604-59-5	antivíric		
2662	simeticona	simeticona	siméticone	simeticone	8050-81-5	antiflatulent		
2663	simfibrat	simfibrato	simfibrate	simfibrate	14929-11-4	hipolipemiant		
2664	simoctocog alfa	simoctocog alfa	simoctocog alfa	simoctocog alfa	1219013-68-9	factor de la coagulació sanguínia		
2665	simvastatina	simvastatina	simvastatine	simvastatin	79902-63-9	hipolipemiant		
2666	sinapultida	sinapultida	sinapultide	sinapultide	138531-07-4	tensioactiu pulmonar		
2667	sincalida	sincalida	sincalide	sincalide	25126-32-3	estimulant de la contracció de la vesícula biliar	estimulant de la musculatura intestinal	
2668	sirolimús	sirolimús	sirolimus	sirolimus	53123-88-9	immunodepressor		
2669	sisomicina	sisomicina	sisomicine	sisomicin	32385-11-8	antibiòtic aminoglicosídic		
2670	sitagliptina	sitagliptina	sitagliptine	sitagliptin	486460-32-6	hipoglucemiant oral		
2671	sitaxentan	sitaxentán	sitaxentan	sitaxentan	184036-34-8	antihipertensor		
2672	sivelestat	sivelestat	sivélestat	sivelestat	127373-66-4	inhibidor de l'elastasa		
2673	sizofiran	sizofirán	sizofiran	sizofiran	9050-67-3	immunoestimulant		
2674	sobuzoxà	sobuzoxano	sobuzoxane	sobuzoxane	98631-95-9	antineoplàstic		
2675	sofosbuvir	sofosbuvir	sofosbuvir	sofosbuvir	1190307-88-0	antivíric		
2676	solifenacina	solifenacina	solifénacine	solifenacin	242478-37-1	antagonista muscarínic	emprat en el tractament de la incontinència urinària	
2677	somagrebova	somagrebovo	somagrébove	somagrebove	96353-48-9	derivat de l'hormona del creixement		
2678	somatorelina	somatorelina	somatoréline	somatorelin	83930-13-6	factor alliberador de l'hormona del creixement		
2679	somatostatina	somatostatina	somatostatine	somatostatin	38916-34-6	hormona hipotalàmica	inhibidor de l'alliberament de l'hormona del creixement	
2680	somatotropina	somatropina	somatropine	somatropin	12629-01-5	estimulant del creixement		
2681	somatrem	somatrem	somatrem	somatrem	82030-87-3	hormona antidiürètica		
2682	sometribova	sometribovo	sométribove	sometribove	102744-97-8	derivat de l'hormona del creixement		
2683	somidobova	somidobovo	somidobove	somidobove	89383-13-1	derivat de l'hormona del creixement		
2684	sonidegib	sonidegib	sonidégib	sonidegib	1218778-77-8	antineoplàstic		
2685	sonolisib	sonolisib	sonolisib	sonolisib	502632-66-8	antineoplàstic		
2686	sorafenib	sorafenib	sorafénib	sorafenib	284461-73-0	antiangiogènic	antineoplàstic	
2687	sorbinil	sorbinilo	sorbinil	sorbinil	68367-52-2	antidiabètic		
2688	sorivudina	sorivudina	sorivudine	sorivudine	77181-69-2	antivíric		
2689	sotalol	sotalol	sotalol	sotalol	3930-20-9	blocador d'adrenoreceptors beta		
2690	sotrastaurina	sotrastaurina	sotrastaurine	sotrastaurin	425637-18-9	inhibidor de la proteïna-cinasa C		
2691	succímer	succímero	succimer	succimer	304-55-2	antídot en la intoxicació per plom	quelant	
2692	succinat d'estriol	succinato de estriol	succinate d'estriol	estriol succinate	514-68-1	hormona sexual		
2693	succinilsulfatiazole	succinilsulfatiazol	succinylsulfathiazol	succinylsulfathiazole	116-43-8	antibiòtic sulfonamídic		
2694	sucralfat	sucralfato	sucralfate	sucralfate	54182-58-0	antiàcid		
2695	sudismasa	sudismasa	sudismase	sudismase	110294-55-8	antiinflamatori		
2696	sufentanil	sufentanilo	sufentanil	sufentanil	56030-54-7	analgèsic opiaci		
2697	sugammadex	sugammadex	sugammadex	sugammadex	343306-79-6	antídot		
2698	sulbactam	sulbactam	sulbactam	sulbactam	68373-14-8	coadjuvant farmacològic	enzim inhibidor de la ß-lactamasa	
2699	sulbenicil·lina	sulbenicilina	sulbénicilline	sulbenicillin	41744-40-5	antibiòtic penicil·línic		
2700	sulbutiamina	sulbutiamina	sulbutiamine	sulbutiamine	3286-46-2	emprat en la prevenció i el tractament del dèficit de vitamina B		
2701	sulconazole	sulconazol	sulconazole	sulconazole	61318-90-9	antifúngic		
2702	suleparoide sòdic	suleparoide de sodio	suléparoïde sodique	suleparoid sodium	57459-72-0	trombolític		
2703	sulfabenzamida	sulfabenzamida	sulfabenzamide	sulfabenzamide	127-71-9	antibiòtic sulfonamídic		
2704	sulfacarbamida	sulfacarbamida	sulfacarbamide	sulfacarbamide	547-44-4	antibiòtic sulfonamídic		
2705	sulfacetamida	sulfacetamida	sulfacétamide	sulfacetamide	144-80-9	antibiòtic sulfonamídic		
2706	sulfaclorpiridazina	sulfaclorpiridazina	sulfachlorpyridazine	sulfachlorpyridazine	80-32-0	antibiòtic sulfonamídic		
2707	sulfacrisoïdina	sulfacrisoidina	sulfachrysoïdine	sulfachrysoidine	485-41-6	antibiòtic sulfonamídic		
2708	sulfadiazina	sulfadiazina	sulfadiazine	sulfadiazine	68-35-9	antibiòtic sulfonamídic		
2709	sulfadicramida	sulfadicramida	sulfadicramide	sulfadicramide	115-68-4	antibiòtic sulfonamídic		
2710	sulfadimetoxina	sulfadimetoxina	sulfadiméthoxine	sulfadimethoxine	122-11-2	antibiòtic sulfonamídic		
2711	sulfadimidina	sulfadimidina	sulfadimidine	sulfadimidine	57-68-1	antibiòtic sulfonamídic		
2712	sulfadoxina	sulfadoxina	sulfadoxine	sulfadoxine	2447-57-6	antibiòtic sulfonamídic		
2713	sulfafurazole	sulfafurazol	sulfafurazol	sulfafurazole	127-69-5	antibiòtic sulfonamídic		
2714	sulfaguanidina	sulfaguanidina	sulfaguanidine	sulfaguanidine	57-67-0	antibiòtic sulfonamídic		
2715	sulfamerazina	sulfamerazina	sulfamérazine	sulfamerazine	127-79-7	antibiòtic sulfonamídic		
2716	sulfametizole	sulfametizol	sulfaméthizol	sulfamethizole	144-82-1	antibiòtic sulfonamídic		
2717	sulfametoxazole	sulfametoxazol	sulfaméthoxazole	sulfamethoxazole	723-46-6	antibiòtic sulfonamídic		
2718	sulfametoxipiridazina	sulfametoxipiridazina	sulfaméthoxypyridazine	sulfamethoxypyridazine	80-35-3	antibiòtic sulfonamídic		
2719	sulfametrole	sulfametrol	sulfamétrole	sulfametrole	32909-92-5	antibiòtic sulfonamídic		
2720	sulfamonometoxina	sulfamonometoxina	sulfamonométhoxine	sulfamonomethoxine	1220-83-3	antibiòtic sulfonamídic		
2721	sulfamoxole	sulfamoxol	sulfamoxole	sulfamoxole	729-99-7	antibiòtic sulfonamídic		
2722	sulfanilamida	sulfanilamida	sulfanilamide	sulfanilamide	63-74-1	antibiòtic sulfonamídic		
2723	sulfapiridina	sulfapiridina	sulfapyridine	sulfapyridine	144-83-2	antibiòtic sulfonamídic		
2724	sulfasalazina	sulfasalazina	sulfasalazine	sulfasalazine	599-79-1	antibiòtic sulfonamídic	antiinflamatori intestinal	
2725	sulfasuccinamida	sulfasuccinamida	sulfasuccinamide	sulfasuccinamide	3563-14-2	antibiòtic sulfonamídic		
2726	sulfatiazole	sulfatiazol	sulfathiazol	sulfathiazole	72-14-0	antibiòtic sulfonamídic		
2727	sulfatroxazole	sulfatroxazol	sulfatroxazole	sulfatroxazole	23256-23-7	antibiòtic sulfonamídic		
2728	sulfinpirazona	sulfinpirazona	sulfinpyrazone	sulfinpyrazone	57-96-5	uricosúric		
2729	sulfiram	sulfiram	sulfiram	sulfiram	95-05-6	escabicida		
2730	sulfisomidina	sulfisomidina	sulfisomidine	sulfisomidine	515-64-0	antibiòtic sulfonamídic		
2731	sulfoguaiacol	sulfoguayacol	sulfogaïacol	sulfogaiacol	1321-14-8	expectorant		
2732	sulfòxid de dimetil	dimetil sulfóxido	diméthylsulfoxyde	dimethyl sulfoxide	67-68-5	antiinflamatori		
2733	sulglicotida	sulglicotida	sulglicotide	sulglicotide	54182-59-1	protector gastrointestinal		
2734	sulindac	sulindaco	sulindac	sulindac	38194-50-2	analgèsic	antiinflamatori	antipirètic
2735	sulisobenzona	sulisobenzona	sulisobenzone	sulisobenzone	4065-45-6	protector solar		
2736	sulodexida	sulodexida	sulodexide	sulodexide	57821-29-1	antihiperlipèmic		
2737	sulpirida	sulpirida	sulpiride	sulpiride	15676-16-1	inhibidor de la secreció àcida gàstrica	neurolèptic	
2738	sulprostona	sulprostona	sulprostone	sulprostone	60325-46-4	prostaglandina		
2739	sultamicil·lina	sultamicilina	sultamicilline	sultamicillin	76497-13-7	antibiòtic penicil·línic		
2740	sultiam	sultiamo	sultiame	sultiame	61-56-3	antiepilèptic		
2741	sultoprida	sultoprida	sultopride	sultopride	53583-79-2	neurolèptic		
2742	sumatriptan	sumatriptán	sumatriptan	sumatriptan	103628-46-2	antimigranyós		
2743	sunitinib	sunitinib	sunitinib	sunitinib	557795-19-4	antiangiogènic	antineoplàstic	
2744	suprofèn	suprofeno	suprofène	suprofen	40828-46-4	antiinflamatori		
2745	sutezolid	sutezolid	sutézolid	sutezolid	168828-58-8	antibacterià		
2746	sutilaïna	sutilaína	sutilaïnes	sutilains	12211-28-8	enzim pancreàtic		
2747	suvorexant	suvorexant	suvorexant	suvorexant	1030377-33-3	antagonista del receptor de l'orexina		
2748	suxibuzona	suxibuzona	suxibuzone	suxibuzone	27470-51-5	analgèsic	antiinflamatori	antipirètic
2749	tacalcitol	tacalcitol	tacalcitol	tacalcitol	57333-96-7	antipsoriàsic		
2750	tacrina	tacrina	tacrine	tacrine	321-64-2	emprat en el tractament de la malaltia d'Alzheimer	inhibidor de la colinesterasa	
2751	tacrolimús	tacrolimús	tacrolimus	tacrolimus	104987-11-3	immunodepressor		
2752	tadalafil	tadalafilo	tadalafil	tadalafil	171596-29-5	vasodilatador		
2753	tafamidís	tafamidis	tafamidis	tafamidis	594839-88-0	inhibidor del dipòsit de fibril·les d'amiloide		
2754	tafenoquina	tafenoquina	tafénoquine	tafenoquine	106635-80-7	antipalúdic		
2755	tafluprost	tafluprost	tafluprost	tafluprost	209860-87-7	emprat en el tractament del glaucoma		
2756	talidomida	talidomida	thalidomide	thalidomide	50-35-1	immunomodulador		
2757	talimogen laherparepvec	talimogén laherparepvec	talimogène laherparépvec	talimogene laherparepvec	1187560-31-1	antineoplàstic		
2758	talinolol	talinolol	talinolol	talinolol	57460-41-0	blocador d'adrenoreceptors beta		
2759	talipexole	talipexol	talipexole	talipexole	101626-70-4	antiparkinsonià		
2760	taltirelina	taltirelina	taltiréline	taltirelin	103300-74-9	hormona hipotalàmica		
2761	tamoxifèn	tamoxifeno	tamoxifène	tamoxifen	10540-29-1	antiestrogen	antineoplàstic	
2762	tamsulosina	tamsulosina	tamsulosine	tamsulosin	106133-20-4	emprat en el tractament de l'adenoma prostàtic		
2763	tandospirona	tandospirona	tandospirone	tandospirone	87760-53-0	ansiolític	antidepressiu	
2764	tapentadol	tapentadol	tapentadol	tapentadol	175591-23-8	analgèsic		
2765	tarextumab	tarextumab	tarextumab	tarextumab	1359940-55-8	antineoplàstic		
2766	tasimelteon	tasimelteón	tasimeltéon	tasimelteon	609799-22-6	agonista del receptor de la melatonina		
2767	tasonermina	tasonermina	tasonermine	tasonermin	94948-59-1	antineoplàstic		
2768	tasosartan	tasosartán	tasosartan	tasosartan	145733-36-4	antihipertensor		
2769	tasquinimod	tasquinimod	tasquinimod	tasquinimod	254964-60-8	immunomodulador		
2770	taurina	taurina	taurine	taurine	107-35-7	aminoàcid		
2771	taurolidina	taurolidina	taurolidine	taurolidine	19388-87-5	antibiòtic		
2772	tazarotè	tazaroteno	tazarotène	tazarotene	118292-40-3	antiacneic	antipsoriàsic	
2773	tazobactam	tazobactam	tazobactam	tazobactam	89786-04-9	coadjuvant farmacològic	inhibidor de la ß-lactamasa	
2774	tebacó	tebacón	thébacone	thebacon	466-90-0	analgèsic opiaci	antitussigen	
2775	teclotiazida	teclotiazida	téclothiazide	teclothiazide	4267-05-4	diürètic		
2776	teclozan	teclozán	téclozan	teclozan	5560-78-1	amebicida		
2777	tedizolid	tedizolid	tédizolid	tedizolid	856866-72-3	antibiòtic oxazolidinònic		
2778	tegafur	tegafur	tégafur	tegafur	17902-23-7	antineoplàstic		
2779	tegaserod	tegaserod	tégasérod	tegaserod	145158-71-0	procinètic		
2780	teicoplanina	teicoplanina	teicoplanine	teicoplanin	61036-62-2	antibiòtic		
2781	telaprevir	telaprevir	télaprévir	telaprevir	402957-28-2	antivíric		
2782	telavancina	telavancina	télavancine	telavancin	372151-71-8	antibiòtic		
2783	telbivudina	telbivudina	telbivudine	telbivudine	3424-98-4	antivíric		
2784	telitromicina	telitromicina	télithromycine	telithromycin	173838-31-8	antibiòtic macròlid	emprat en el tractament de les infeccions de les vies respiratòries	
2785	telmesteïna	telmesteína	telmestéine	telmesteine	122946-43-4	mucolític		
2786	telmisartan	telmisartán	telmisartan	telmisartan	144701-48-4	antihipertensor		
